,data_url,neighborhood,code_postal
88,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/King-West-Village/51-E-Liberty-Street/86152810.html,King West Village,M6K 3P8
89,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Entertainment-District/88-Blue-Jays-Way/84109631.html,Entertainment District,
90,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Downsview/61-Jim-Baird-Mews-Toronto-Ontario-M3L0C3/82440670.html,Downsview,M3L0C3
91,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Islington-Village/5101-Dundas-St-W-/87145452.html,Islington Village,M9A1C2
92,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/118-MERCHANTS-WHARF/87168635.html,St. Lawrence,
93,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Woburn/36-LEE-CENTRE-DR/87169102.html,Woburn,M2H3K2
94,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Wilson-Heights-Dublin-Heights-Clanton-Park/141-YEOMANS-RD/86212931.html,Wilson Heights - Dublin Heights - Clanton Park,M3H3J8
95,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Scarborough-Village/91-MUIR-DR/87170077.html,Scarborough Village,M1M3T7
96,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Princess-Gardens/17-TETTENHALL-RD/86296779.html,Princess Gardens,M9A2C2
97,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Midtown-Toronto/Forest-Hill/230-DUNVEGAN-RD/87130869.html,Forest Hill,M5P2P2
98,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Financial-District/65-BREMNER-BLVD/87168634.html,Financial District,M5J0A7
99,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Junction-Triangle/812-LANSDOWNE-AVENUE-UNIT/87169231.html,--,--
