,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
363,"UOVO Boutique Residences, Toronto, Ontario",-79.397907,43.702967,/CA/Condo-For-Sale/ON/Toronto/Chaplin-Estates/UOVO-Boutique-Residences/57399075.html,"$639,900 CAD",--,--,--,Condo
364,"252 Staines Rd, Toronto, Ontario",-79.222879,43.82787,/CA/Home-For-Sale/ON/Toronto/Morningside-Heights/252-Staines-Rd/80754010.html,"$1,299,000 CAD",4 Beds,5 Baths,--,Residential
365,"51 East Liberty St, Toronto, Ontario",-79.412811,43.638563,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/51-East-Liberty-St/85742054.html,"$579,900 CAD",1 Bed,1 Bath,--,Condo
366,"840 Saint Clair Avenue West, Toronto, Ontario",-79.431839,43.680638,/CA/Condo-For-Sale/ON/Toronto/Oakwood-Vaughan/840-Saint-Clair-Avenue-West/82258526.html,"$639,900 CAD",--,--,--,Condo
1980,"1823 Davenport Rd, Toronto, Ontario",-79.452407,43.670649,/CA/Home-For-Sale/ON/Toronto/Carleton-Village/1823-Davenport-Rd/76265129.html,"$1,299,000 CAD",6 Beds,4 Baths,--,Townhouse
2004,"21 Iceboat Terr, Toronto, Ontario",-79.396901,43.640507,/CA/Condo-For-Sale/ON/Toronto/Cityplace/21-Iceboat-Terr/82619342.html,"$759,000 CAD",2 Beds,2 Baths,--,Condo
369,"169 Fort York Blvd, Toronto, Ontario",-79.401064,43.638387,/CA/Condo-For-Sale/ON/Toronto/Fort-York/169-Fort-York-Blvd/83619791.html,"$475,000 CAD",--,1 Bath,--,Condo
370,"38 Grand Magazine St, Toronto, Ontario",-79.40298,43.637279,/CA/Condo-For-Sale/ON/Toronto/Fort-York/38-Grand-Magazine-St/86053978.html,"$749,900 CAD",2 Beds,1 Bath,--,Condo
2028,"Tricycle Condominiums - 1151 Markham Road, Toronto, ON, Toronto, Ontario",-79.231107,43.776168,/CA/Home-For-Sale/ON/Toronto/Curran-Hall/Tricycle-Condominiums-1151-Markham-Road-Toronto-ON/86041664.html,"$623,990 CAD",--,--,--,Residential
2052,"339 Rathburn Rd, Toronto, Ontario",-79.559131,43.655863,/CA/Condo-For-Sale/ON/Toronto/Eatonville/339-Rathburn-Rd/83141646.html,"$599,900 CAD",2 Beds,2 Baths,--,Condo
